# device=Dev1
# channels=ai0,ai1
# config=RSE vmin=-1.0 vmax=3.5
# adc_bits=16 lsb_volts=6.866455e-05 decimals=6
# rate_hz=200.0 total_samples=1000
# datetime=2025-08-22T10:00:20
sample_index,timestamp_ms,ai0,ai1
0,0.000000,3.302933,1.646675
1,5.000000,3.299294,1.648186
2,10.000000,3.303619,1.648048
3,15.000000,3.302795,1.648872
4,20.000000,3.312134,1.650314
5,25.000000,3.294212,1.649353
6,30.000000,3.298332,1.648872
7,35.000000,3.297165,1.649010
8,40.000000,3.298332,1.646675
9,45.000000,3.304718,1.649628
10,50.000000,3.296066,1.646881
11,55.000000,3.303413,1.649147
12,60.000000,3.315773,1.650314
13,65.000000,3.303894,1.648529
14,70.000000,3.304718,1.649147
15,75.000000,3.294556,1.646675
16,80.000000,3.296822,1.649353
17,85.000000,3.330742,1.649010
18,90.000000,3.305542,1.647499
19,95.000000,3.338913,1.649010
20,100.000000,3.304237,1.647499
21,105.000000,3.313644,1.647018
22,110.000000,3.297646,1.648529
23,115.000000,3.317696,1.649628
24,120.000000,3.307053,1.649353
25,125.000000,3.305542,1.647224
26,130.000000,3.307671,1.649010
27,135.000000,3.342072,1.649010
28,140.000000,3.298332,1.650452
29,145.000000,3.313919,1.648323
30,150.000000,3.305748,1.649147
31,155.000000,3.313919,1.650452
32,160.000000,3.291946,1.648666
33,165.000000,3.301971,1.649147
34,170.000000,3.314468,1.649353
35,175.000000,3.315567,1.646675
36,180.000000,3.292427,1.649834
37,185.000000,3.306847,1.649353
38,190.000000,3.308220,1.648186
39,195.000000,3.303757,1.649010
40,200.000000,3.306091,1.649147
41,205.000000,3.294556,1.648048
42,210.000000,3.317696,1.648186
43,215.000000,3.293869,1.647018
44,220.000000,3.319550,1.649353
45,225.000000,3.301147,1.648666
46,230.000000,3.293732,1.649010
47,235.000000,3.294075,1.649010
48,240.000000,3.327583,1.649628
49,245.000000,3.306091,1.648186
50,250.000000,3.290298,1.649353
51,255.000000,3.321678,1.649147
52,260.000000,3.305405,1.647842
53,265.000000,3.291260,1.649147
54,270.000000,3.309181,1.647499
55,275.000000,3.291946,1.649834
56,280.000000,3.321678,1.648872
57,285.000000,3.308495,1.648529
58,290.000000,3.297371,1.647018
59,295.000000,3.309868,1.649353
60,300.000000,3.317421,1.648186
61,305.000000,3.312958,1.649628
62,310.000000,3.306229,1.649147
63,315.000000,3.296066,1.649147
64,320.000000,3.313438,1.649628
65,325.000000,3.298676,1.649971
66,330.000000,3.299500,1.648529
67,335.000000,3.293388,1.648666
68,340.000000,3.326141,1.648666
69,345.000000,3.327103,1.649010
70,350.000000,3.305748,1.648529
71,355.000000,3.295242,1.647499
72,360.000000,3.307396,1.648666
73,365.000000,3.303619,1.647499
74,370.000000,3.297989,1.650314
75,375.000000,3.315773,1.649010
76,380.000000,3.307053,1.648872
77,385.000000,3.303619,1.648872
78,390.000000,3.299843,1.648666
79,395.000000,3.303894,1.648666
80,400.000000,3.302452,1.647224
81,405.000000,3.314125,1.649010
82,410.000000,3.292564,1.647362
83,415.000000,3.325592,1.649834
84,420.000000,3.309868,1.648666
85,425.000000,3.294212,1.649628
86,430.000000,3.304581,1.648048
87,435.000000,3.303894,1.649010
88,440.000000,3.302452,1.647705
89,445.000000,3.333694,1.648666
90,450.000000,3.293732,1.648323
91,455.000000,3.309319,1.648872
92,460.000000,3.295036,1.648872
93,465.000000,3.300323,1.646538
94,470.000000,3.294075,1.650452
95,475.000000,3.292221,1.647842
96,480.000000,3.296684,1.646538
97,485.000000,3.303757,1.647842
98,490.000000,3.296341,1.651619
99,495.000000,3.306366,1.648186
100,500.000000,3.301422,1.648529
101,505.000000,3.297028,1.649010
102,510.000000,3.296822,1.648529
103,515.000000,3.299500,1.646675
104,520.000000,3.344818,1.649010
105,525.000000,3.321335,1.648529
106,530.000000,3.301147,1.649628
